fileName,pinataURI
rarepizzas-unopenedbox.70.png,https://gateway.pinata.cloud/ipfs/QmXD8xmKUNkxi7r7KLm7KyCZk33tAXpRC5g37StjShyQS5
rarepizzas-unopenedbox.71.png,https://gateway.pinata.cloud/ipfs/QmcfRvLhzGZQE6SUjQWjwUZ4BCGgrVSW2S7HE9dX7hnLv2
rarepizzas-unopenedbox.72.png,https://gateway.pinata.cloud/ipfs/Qmc9oPVqdAL3JJqra6N7YoD8Mm1MPhhZeBncVS78Jvu5sA
rarepizzas-unopenedbox.73.png,https://gateway.pinata.cloud/ipfs/Qmb6jksqYukNx5P4jm5uTiMXK2QrfLrBFGzGW5ATCUNcsa
rarepizzas-unopenedbox.74.png,https://gateway.pinata.cloud/ipfs/QmYfiR74832ga5p41G2Ra1vhwATrCAgVdzg55rs3TCG62u
rarepizzas-unopenedbox.75.png,https://gateway.pinata.cloud/ipfs/QmRJ62oBB2vgDsGnpHhVgwqFeR4nRLhMVEHrgCjmR3prh2
rarepizzas-unopenedbox.76.png,https://gateway.pinata.cloud/ipfs/QmQCECQ6Nh1Kj1y9eNEuga7WQsBY2ZJM67MePM5JSKf8g9
rarepizzas-unopenedbox.77.png,https://gateway.pinata.cloud/ipfs/QmUiZE3ve9H1qPdQ3k5NMZ3AEG8GpGmzWGx5xzywkAN2vi
rarepizzas-unopenedbox.78.png,https://gateway.pinata.cloud/ipfs/QmV3bsFE1ExRsNeVtku7hdRWwd8nqeR41m85eYXBNoEz6K
rarepizzas-unopenedbox.79.png,https://gateway.pinata.cloud/ipfs/QmUiZ1Xkr8MdtfQFMQPfkb8PHK43eFRDi6RXR3XdmDkfTb
rarepizzas-unopenedbox.80.png,https://gateway.pinata.cloud/ipfs/QmcAKd9RCLbTjadfS4B6qUaaxxo1LGB2h44PszMD3a2KWZ
rarepizzas-unopenedbox.81.png,https://gateway.pinata.cloud/ipfs/QmeZaPrgMhJuPJx9FQrgV1hphLpnswYVQfgqQjLQPN8ybc
rarepizzas-unopenedbox.82.png,https://gateway.pinata.cloud/ipfs/QmUtV2CZquxs7ncAYr5CW6198VxUQkP8uYYzVZefb4oSJE
rarepizzas-unopenedbox.83.png,https://gateway.pinata.cloud/ipfs/QmefTtQvgYtsqS6oYWwn7mPJimBLiDyE7sN9VwaNMXGxad
rarepizzas-unopenedbox.84.png,https://gateway.pinata.cloud/ipfs/QmPiveXtggzHmp6syhtqCPgJJVGPAzQrNCfcckxU66qaW9
rarepizzas-unopenedbox.85.png,https://gateway.pinata.cloud/ipfs/QmTFeh2JvL6tB6EjiapjFfexzhycLjKxgmbRdc8FT7iomK
rarepizzas-unopenedbox.86.png,https://gateway.pinata.cloud/ipfs/QmPzHDYtWpxfcMPpmu7fYugyLRDoSwoHkusKQ42YVSRGoA
